freq,ang,val
4.0,-180.0,-3.02
4.15,-180.0,-3.28
4.3,-180.0,-3.58
4.46,-180.0,-3.91
4.63,-180.0,-4.29
4.8,-180.0,-4.72
4.98,-180.0,-5.22
5.16,-180.0,-5.82
5.36,-180.0,-6.54
5.55,-180.0,-7.47
5.76,-180.0,-8.75
5.98,-180.0,-10.98
6.2,-180.0,-20.0
6.43,-180.0,-4.94
6.67,-180.0,-12.86
6.91,-180.0,-19.42
7.17,-180.0,-12.33
7.44,-180.0,-10.02
7.71,-180.0,-8.65
8.0,-180.0,-7.7
4.0,-176.0,-2.8
4.15,-176.0,-3.08
4.3,-176.0,-3.39
4.46,-176.0,-3.73
4.63,-176.0,-4.12
4.8,-176.0,-4.57
4.98,-176.0,-5.09
5.16,-176.0,-5.7
5.36,-176.0,-6.45
5.55,-176.0,-7.39
5.76,-176.0,-8.7
5.98,-176.0,-10.96
6.2,-176.0,-19.65
6.43,-176.0,-4.89
6.67,-176.0,-12.76
6.91,-176.0,-20.27
7.17,-176.0,-12.61
7.44,-176.0,-10.29
7.71,-176.0,-8.95
8.0,-176.0,-8.05
4.0,-172.0,-2.73
4.15,-172.0,-3.02
4.3,-172.0,-3.35
4.46,-172.0,-3.71
4.63,-172.0,-4.13
4.8,-172.0,-4.6
4.98,-172.0,-5.14
5.16,-172.0,-5.78
5.36,-172.0,-6.55
5.55,-172.0,-7.52
5.76,-172.0,-8.86
5.98,-172.0,-11.16
6.2,-172.0,-19.43
6.43,-172.0,-5.01
6.67,-172.0,-12.67
6.91,-172.0,-24.27
7.17,-172.0,-13.54
7.44,-172.0,-11.12
7.71,-172.0,-9.79
8.0,-172.0,-8.95
4.0,-168.0,-2.8
4.15,-168.0,-3.11
4.3,-168.0,-3.47
4.46,-168.0,-3.86
4.63,-168.0,-4.31
4.8,-168.0,-4.81
4.98,-168.0,-5.39
5.16,-168.0,-6.06
5.36,-168.0,-6.87
5.55,-168.0,-7.88
5.76,-168.0,-9.25
5.98,-168.0,-11.6
6.2,-168.0,-19.37
6.43,-168.0,-5.33
6.67,-168.0,-12.73
6.91,-168.0,-24.8
7.17,-168.0,-15.26
7.44,-168.0,-12.57
7.71,-168.0,-11.25
8.0,-168.0,-10.48
4.0,-164.0,-3.01
4.15,-164.0,-3.36
4.3,-164.0,-3.75
4.46,-164.0,-4.18
4.63,-164.0,-4.66
4.8,-164.0,-5.21
4.98,-164.0,-5.84
5.16,-164.0,-6.56
5.36,-164.0,-7.42
5.55,-164.0,-8.49
5.76,-164.0,-9.92
5.98,-164.0,-12.34
6.2,-164.0,-19.57
6.43,-164.0,-5.96
6.67,-164.0,-13.11
6.91,-164.0,-20.5
7.17,-164.0,-18.08
7.44,-164.0,-14.85
7.71,-164.0,-13.51
8.0,-164.0,-12.86
4.0,-160.0,-3.37
4.15,-160.0,-3.76
4.3,-160.0,-4.2
4.46,-160.0,-4.68
4.63,-160.0,-5.22
4.8,-160.0,-5.83
4.98,-160.0,-6.52
5.16,-160.0,-7.32
5.36,-160.0,-8.26
5.55,-160.0,-9.41
5.76,-160.0,-10.94
5.98,-160.0,-13.48
6.2,-160.0,-20.16
6.43,-160.0,-7.07
6.67,-160.0,-14.08
6.91,-160.0,-19.73
7.17,-160.0,-23.04
7.44,-160.0,-18.41
7.71,-160.0,-17.11
8.0,-160.0,-16.76
4.0,-156.0,-3.89
4.15,-156.0,-4.34
4.3,-156.0,-4.84
4.46,-156.0,-5.39
4.63,-156.0,-6.01
4.8,-156.0,-6.71
4.98,-156.0,-7.5
5.16,-156.0,-8.4
5.36,-156.0,-9.47
5.55,-156.0,-10.76
5.76,-156.0,-12.46
5.98,-156.0,-15.21
6.2,-156.0,-21.43
6.43,-156.0,-9.02
6.67,-156.0,-16.16
6.91,-156.0,-21.2
7.17,-156.0,-48.58
7.44,-156.0,-24.96
7.71,-156.0,-24.47
8.0,-156.0,-26.25
4.0,-152.0,-4.58
4.15,-152.0,-5.1
4.3,-152.0,-5.69
4.46,-152.0,-6.34
4.63,-152.0,-7.06
4.8,-152.0,-7.89
4.98,-152.0,-8.82
5.16,-152.0,-9.9
5.36,-152.0,-11.17
5.55,-152.0,-12.71
5.76,-152.0,-14.7
5.98,-152.0,-17.85
6.2,-152.0,-23.81
6.43,-152.0,-12.33
6.67,-152.0,-19.68
6.91,-152.0,-23.74
7.17,-152.0,-29.23
7.44,-152.0,-27.94
7.71,-152.0,-23.36
8.0,-152.0,-21.4
4.0,-148.0,-5.44
4.15,-148.0,-6.07
4.3,-148.0,-6.76
4.46,-148.0,-7.53
4.63,-148.0,-8.41
4.8,-148.0,-9.4
4.98,-148.0,-10.53
5.16,-148.0,-11.82
5.36,-148.0,-13.3
5.55,-148.0,-15.0
5.76,-148.0,-16.94
5.98,-148.0,-19.6
6.2,-148.0,-23.65
6.43,-148.0,-10.92
6.67,-148.0,-16.37
6.91,-148.0,-18.87
7.17,-148.0,-22.37
7.44,-148.0,-35.79
7.71,-148.0,-23.1
8.0,-148.0,-21.3
4.0,-144.0,-6.47
4.15,-144.0,-7.2
4.3,-144.0,-8.02
4.46,-144.0,-8.92
4.63,-144.0,-9.9
4.8,-144.0,-10.96
4.98,-144.0,-12.04
5.16,-144.0,-13.06
5.36,-144.0,-13.91
5.55,-144.0,-14.64
5.76,-144.0,-15.5
5.98,-144.0,-17.38
6.2,-144.0,-20.33
6.43,-144.0,-8.1
6.67,-144.0,-13.74
6.91,-144.0,-16.31
7.17,-144.0,-19.32
7.44,-144.0,-24.85
7.71,-144.0,-26.87
8.0,-144.0,-24.17
4.0,-140.0,-7.58
4.15,-140.0,-8.37
4.3,-140.0,-9.19
4.46,-140.0,-10.01
4.63,-140.0,-10.75
4.8,-140.0,-11.34
4.98,-140.0,-11.75
5.16,-140.0,-12.06
5.36,-140.0,-12.37
5.55,-140.0,-12.84
5.76,-140.0,-13.71
5.98,-140.0,-15.78
6.2,-140.0,-18.15
6.43,-140.0,-6.57
6.67,-140.0,-12.38
6.91,-140.0,-15.04
7.17,-140.0,-17.92
7.44,-140.0,-22.12
7.71,-140.0,-32.45
8.0,-140.0,-32.99
4.0,-136.0,-8.49
4.15,-136.0,-9.12
4.3,-136.0,-9.65
4.46,-136.0,-10.03
4.63,-136.0,-10.26
4.8,-136.0,-10.4
4.98,-136.0,-10.53
5.16,-136.0,-10.73
5.36,-136.0,-11.07
5.55,-136.0,-11.65
5.76,-136.0,-12.67
5.98,-136.0,-14.98
6.2,-136.0,-16.73
6.43,-136.0,-5.75
6.67,-136.0,-11.75
6.91,-136.0,-14.57
7.17,-136.0,-17.62
7.44,-136.0,-21.97
7.71,-136.0,-31.28
8.0,-136.0,-39.61
4.0,-132.0,-8.81
4.15,-132.0,-9.09
4.3,-132.0,-9.24
4.46,-132.0,-9.31
4.63,-132.0,-9.35
4.8,-132.0,-9.42
4.98,-132.0,-9.57
5.16,-132.0,-9.84
5.36,-132.0,-10.28
5.55,-132.0,-10.98
5.76,-132.0,-12.15
5.98,-132.0,-14.7
6.2,-132.0,-15.8
6.43,-132.0,-5.41
6.67,-132.0,-11.65
6.91,-132.0,-14.76
7.17,-132.0,-18.36
7.44,-132.0,-24.8
7.71,-132.0,-26.68
8.0,-132.0,-25.98
4.0,-130.0,-8.74
4.15,-130.0,-8.88
4.3,-130.0,-8.92
4.46,-130.0,-8.93
4.63,-130.0,-8.96
4.8,-130.0,-9.05
4.98,-130.0,-9.23
5.16,-130.0,-9.55
5.36,-130.0,-10.04
5.55,-130.0,-10.8
5.76,-130.0,-12.03
5.98,-130.0,-14.7
6.2,-130.0,-15.47
6.43,-130.0,-5.38
6.67,-130.0,-11.76
6.91,-130.0,-15.09
7.17,-130.0,-19.23
7.44,-130.0,-31.36
7.71,-130.0,-23.43
8.0,-130.0,-23.21
4.0,-128.0,-8.59
4.15,-128.0,-8.62
4.3,-128.0,-8.61
4.46,-128.0,-8.61
4.63,-128.0,-8.65
4.8,-128.0,-8.76
4.98,-128.0,-8.98
5.16,-128.0,-9.34
5.36,-128.0,-9.88
5.55,-128.0,-10.69
5.76,-128.0,-11.99
5.98,-128.0,-14.79
6.2,-128.0,-15.23
6.43,-128.0,-5.43
6.67,-128.0,-11.98
6.91,-128.0,-15.6
7.17,-128.0,-20.64
7.44,-128.0,-26.31
7.71,-128.0,-21.35
8.0,-128.0,-21.33
4.0,-124.0,-8.22
4.15,-124.0,-8.17
4.3,-124.0,-8.14
4.46,-124.0,-8.15
4.63,-124.0,-8.23
4.8,-124.0,-8.41
4.98,-124.0,-8.7
5.16,-124.0,-9.13
5.36,-124.0,-9.76
5.55,-124.0,-10.67
5.76,-124.0,-12.1
5.98,-124.0,-15.19
6.2,-124.0,-14.98
6.43,-124.0,-5.77
6.67,-124.0,-12.74
6.91,-124.0,-17.26
7.17,-124.0,-30.82
7.44,-124.0,-20.39
7.71,-124.0,-18.79
8.0,-124.0,-19.01
4.0,-120.0,-7.97
4.15,-120.0,-7.91
4.3,-120.0,-7.89
4.46,-120.0,-7.94
4.63,-120.0,-8.08
4.8,-120.0,-8.31
4.98,-120.0,-8.66
5.16,-120.0,-9.16
5.36,-120.0,-9.87
5.55,-120.0,-10.87
5.76,-120.0,-12.44
5.98,-120.0,-15.84
6.2,-120.0,-15.0
6.43,-120.0,-6.39
6.67,-120.0,-13.95
6.91,-120.0,-20.5
7.17,-120.0,-21.48
7.44,-120.0,-18.1
7.71,-120.0,-17.41
8.0,-120.0,-17.85
4.0,-116.0,-7.9
4.15,-116.0,-7.86
4.3,-116.0,-7.88
4.46,-116.0,-7.97
4.63,-116.0,-8.15
4.8,-116.0,-8.43
4.98,-116.0,-8.84
5.16,-116.0,-9.4
5.36,-116.0,-10.17
5.55,-116.0,-11.27
5.76,-116.0,-12.97
5.98,-116.0,-16.69
6.2,-116.0,-15.29
6.43,-116.0,-7.3
6.67,-116.0,-15.74
6.91,-116.0,-35.12
7.17,-116.0,-18.62
7.44,-116.0,-16.98
7.71,-116.0,-16.78
8.0,-116.0,-17.48
4.0,-112.0,-8.07
4.15,-112.0,-8.05
4.3,-112.0,-8.1
4.46,-112.0,-8.22
4.63,-112.0,-8.44
4.8,-112.0,-8.76
4.98,-112.0,-9.21
5.16,-112.0,-9.83
5.36,-112.0,-10.66
5.55,-112.0,-11.84
5.76,-112.0,-13.67
5.98,-112.0,-17.72
6.2,-112.0,-15.86
6.43,-112.0,-8.5
6.67,-112.0,-18.42
6.91,-112.0,-21.21
7.17,-112.0,-17.43
7.44,-112.0,-16.54
7.71,-112.0,-16.7
8.0,-112.0,-17.77
4.0,-108.0,-8.49
4.15,-108.0,-8.49
4.3,-108.0,-8.56
4.46,-108.0,-8.71
4.63,-108.0,-8.96
4.8,-108.0,-9.31
4.98,-108.0,-9.8
5.16,-108.0,-10.46
5.36,-108.0,-11.35
5.55,-108.0,-12.6
5.76,-108.0,-14.54
5.98,-108.0,-18.87
6.2,-108.0,-16.76
6.43,-108.0,-10.04
6.67,-108.0,-23.32
6.91,-108.0,-19.15
7.17,-108.0,-17.04
7.44,-108.0,-16.61
7.71,-108.0,-17.11
8.0,-108.0,-18.65
4.0,-104.0,-9.22
4.15,-104.0,-9.24
4.3,-104.0,-9.33
4.46,-104.0,-9.5
4.63,-104.0,-9.76
4.8,-104.0,-10.14
4.98,-104.0,-10.66
5.16,-104.0,-11.35
5.36,-104.0,-12.29
5.55,-104.0,-13.59
5.76,-104.0,-15.62
5.98,-104.0,-20.12
6.2,-104.0,-18.06
6.43,-104.0,-12.02
6.67,-104.0,-27.31
6.91,-104.0,-18.59
7.17,-104.0,-17.25
7.44,-104.0,-17.15
7.71,-104.0,-17.96
8.0,-104.0,-20.13
4.0,-100.0,-10.39
4.15,-100.0,-10.42
4.3,-100.0,-10.52
4.46,-100.0,-10.71
4.63,-100.0,-10.99
4.8,-100.0,-11.39
4.98,-100.0,-11.92
5.16,-100.0,-12.63
5.36,-100.0,-13.59
5.55,-100.0,-14.94
5.76,-100.0,-17.01
5.98,-100.0,-21.53
6.2,-100.0,-19.95
6.43,-100.0,-14.62
6.67,-100.0,-23.0
6.91,-100.0,-18.94
7.17,-100.0,-18.05
7.44,-100.0,-18.19
7.71,-100.0,-19.3
8.0,-100.0,-22.24
