freq,ang,val
4.0,-180.0,-2.68
4.15,-180.0,-2.92
4.3,-180.0,-3.19
4.46,-180.0,-3.49
4.63,-180.0,-3.82
4.8,-180.0,-4.2
4.98,-180.0,-4.63
5.16,-180.0,-5.12
5.36,-180.0,-5.69
5.55,-180.0,-6.36
5.76,-180.0,-7.18
5.98,-180.0,-8.19
6.2,-180.0,-9.54
6.43,-180.0,-11.49
6.67,-180.0,-15.1
6.91,-180.0,-20.8
7.17,-180.0,-13.33
7.44,-180.0,-10.81
7.71,-180.0,-9.3
8.0,-180.0,-8.27
4.0,-176.0,-2.67
4.15,-176.0,-2.91
4.3,-176.0,-3.18
4.46,-176.0,-3.48
4.63,-176.0,-3.81
4.8,-176.0,-4.18
4.98,-176.0,-4.61
5.16,-176.0,-5.1
5.36,-176.0,-5.67
5.55,-176.0,-6.34
5.76,-176.0,-7.15
5.98,-176.0,-8.16
6.2,-176.0,-9.49
6.43,-176.0,-11.41
6.67,-176.0,-14.91
6.91,-176.0,-21.53
7.17,-176.0,-13.45
7.44,-176.0,-10.87
7.71,-176.0,-9.35
8.0,-176.0,-8.29
4.0,-172.0,-2.65
4.15,-172.0,-2.89
4.3,-172.0,-3.15
4.46,-172.0,-3.45
4.63,-172.0,-3.77
4.8,-172.0,-4.15
4.98,-172.0,-4.57
5.16,-172.0,-5.05
5.36,-172.0,-5.61
5.55,-172.0,-6.26
5.76,-172.0,-7.06
5.98,-172.0,-8.04
6.2,-172.0,-9.33
6.43,-172.0,-11.18
6.67,-172.0,-14.41
6.91,-172.0,-25.05
7.17,-172.0,-13.83
7.44,-172.0,-11.07
7.71,-172.0,-9.47
8.0,-172.0,-8.39
4.0,-168.0,-2.61
4.15,-168.0,-2.85
4.3,-168.0,-3.11
4.46,-168.0,-3.39
4.63,-168.0,-3.72
4.8,-168.0,-4.08
4.98,-168.0,-4.49
5.16,-168.0,-4.96
5.36,-168.0,-5.51
5.55,-168.0,-6.15
5.76,-168.0,-6.91
5.98,-168.0,-7.86
6.2,-168.0,-9.09
6.43,-168.0,-10.81
6.67,-168.0,-13.67
6.91,-168.0,-24.68
7.17,-168.0,-14.55
7.44,-168.0,-11.42
7.71,-168.0,-9.7
8.0,-168.0,-8.54
4.0,-164.0,-2.56
4.15,-164.0,-2.79
4.3,-164.0,-3.04
4.46,-164.0,-3.32
4.63,-164.0,-3.64
4.8,-164.0,-3.99
4.98,-164.0,-4.39
5.16,-164.0,-4.85
5.36,-164.0,-5.37
5.55,-164.0,-5.99
5.76,-164.0,-6.72
5.98,-164.0,-7.62
6.2,-164.0,-8.77
6.43,-164.0,-10.34
6.67,-164.0,-12.81
6.91,-164.0,-18.99
7.17,-164.0,-15.82
7.44,-164.0,-11.96
7.71,-164.0,-10.03
8.0,-164.0,-8.78
4.0,-160.0,-2.5
4.15,-160.0,-2.72
4.3,-160.0,-2.96
4.46,-160.0,-3.23
4.63,-160.0,-3.54
4.8,-160.0,-3.88
4.98,-160.0,-4.26
5.16,-160.0,-4.7
5.36,-160.0,-5.2
5.55,-160.0,-5.79
5.76,-160.0,-6.48
5.98,-160.0,-7.32
6.2,-160.0,-8.38
6.43,-160.0,-9.8
6.67,-160.0,-11.91
6.91,-160.0,-16.1
7.17,-160.0,-18.37
7.44,-160.0,-12.8
7.71,-160.0,-10.52
8.0,-160.0,-9.11
4.0,-156.0,-2.42
4.15,-156.0,-2.63
4.3,-156.0,-2.87
4.46,-156.0,-3.13
4.63,-156.0,-3.42
4.8,-156.0,-3.75
4.98,-156.0,-4.11
5.16,-156.0,-4.53
5.36,-156.0,-5.01
5.55,-156.0,-5.56
5.76,-156.0,-6.21
5.98,-156.0,-6.99
6.2,-156.0,-7.96
6.43,-156.0,-9.22
6.67,-156.0,-11.0
6.91,-156.0,-14.05
7.17,-156.0,-39.69
7.44,-156.0,-14.14
7.71,-156.0,-11.23
8.0,-156.0,-9.57
4.0,-152.0,-2.33
4.15,-152.0,-2.54
4.3,-152.0,-2.76
4.46,-152.0,-3.01
4.63,-152.0,-3.29
4.8,-152.0,-3.6
4.98,-152.0,-3.95
5.16,-152.0,-4.34
5.36,-152.0,-4.79
5.55,-152.0,-5.31
5.76,-152.0,-5.91
5.98,-152.0,-6.63
6.2,-152.0,-7.5
6.43,-152.0,-8.61
6.67,-152.0,-10.12
6.91,-152.0,-12.44
7.17,-152.0,-17.64
7.44,-152.0,-16.64
7.71,-152.0,-12.27
8.0,-152.0,-10.22
4.0,-148.0,-2.23
4.15,-148.0,-2.43
4.3,-148.0,-2.64
4.46,-148.0,-2.88
4.63,-148.0,-3.14
